Taylor N, bytes, block size, Base, Vectorized, Strided, Consecutive, Strided vectorized
8, 33554432, 832, 85, 102, 89, 101, 99
8, 33554432, 896, 86, 103, 91, 108, 100
8, 33554432, 960, 85, 100, 88, 92, 99
8, 33554432, 1024, 83, 100, 84, 91, 98
8, 67108864, 256, 149, 176, 167, 2331, 159
8, 67108864, 320, 155, 184, 193, 2170, 186
8, 67108864, 384, 157, 185, 181, 1838, 177
8, 67108864, 448, 154, 183, 176, 1979, 173
8, 67108864, 512, 150, 178, 158, 1629, 157
8, 67108864, 576, 155, 183, 171, 1493, 172
8, 67108864, 640, 157, 185, 176, 1141, 174
8, 67108864, 704, 155, 183, 167, 1065, 170
8, 67108864, 768, 151, 177, 160, 951, 159
8, 67108864, 832, 157, 183, 165, 829, 167
8, 67108864, 896, 158, 186, 169, 738, 174
8, 67108864, 960, 155, 182, 162, 624, 168
8, 67108864, 1024, 152, 179, 169, 682, 162
8, 134217728, 256, 286, 364, 321, 5160, 298
8, 134217728, 320, 297, 348, 375, 5070, 353
8, 134217728, 384, 299, 351, 350, 4696, 333
8, 134217728, 448, 294, 345, 339, 4761, 321
8, 134217728, 512, 289, 340, 307, 4822, 294
8, 134217728, 576, 297, 347, 332, 4977, 320
8, 134217728, 640, 301, 350, 339, 4425, 327
8, 134217728, 704, 296, 346, 322, 4241, 310
8, 134217728, 768, 289, 338, 298, 3762, 291
8, 134217728, 832, 300, 347, 317, 3926, 309
8, 134217728, 896, 303, 351, 325, 4041, 319
8, 134217728, 960, 297, 346, 312, 3587, 307
8, 134217728, 1024, 291, 341, 296, 3422, 295
8, 268435456, 256, 558, 678, 631, 10862, 582
8, 268435456, 320, 579, 676, 749, 11066, 687
8, 268435456, 384, 584, 681, 691, 10868, 643
8, 268435456, 448, 575, 671, 665, 10865, 625
8, 268435456, 512, 559, 656, 596, 10563, 559
8, 268435456, 576, 579, 673, 652, 10523, 619
8, 268435456, 640, 588, 680, 664, 10246, 628
8, 268435456, 704, 578, 671, 631, 9973, 600
8, 268435456, 768, 563, 660, 585, 9515, 558
8, 268435456, 832, 586, 674, 622, 9464, 594
8, 268435456, 896, 592, 681, 640, 9614, 610
8, 268435456, 960, 579, 671, 613, 9705, 584
8, 268435456, 1024, 568, 660, 580, 9955, 558
8, 536870912, 256, 1100, 1294, 1248, 23223, 1146
8, 536870912, 320, 1143, 1331, 1475, 22640, 1375
8, 536870912, 384, 1153, 1341, 1368, 22232, 1278
8, 536870912, 448, 1135, 1322, 1322, 22343, 1229
8, 536870912, 512, 1105, 1294, 1177, 22159, 1100
8, 536870912, 576, 1144, 1325, 1290, 22069, 1221
8, 536870912, 640, 1160, 1339, 1328, 22220, 1229
8, 536870912, 704, 1140, 1320, 1248, 22177, 1174
8, 536870912, 768, 1113, 1297, 1154, 22010, 1087
8, 536870912, 832, 1155, 1327, 1234, 21749, 1157
8, 536870912, 896, 1167, 1340, 1259, 21756, 1193
8, 536870912, 960, 1143, 1321, 1213, 21723, 1145
8, 536870912, 1024, 1122, 1297, 1146, 21816, 1083
